Date,Daily Sales
3/26/19,3.798818636
3/27/19,3.576564311
3/28/19,4.128443297
3/29/19,4.089383517
3/30/19,4.328912835
3/31/19,5.438707868
4/1/19,5.97094889
4/2/19,5.54070793
4/3/19,4.686602934
4/4/19,3.260313866
4/5/19,2.184828342
4/6/19,1.638863008
4/7/19,1.753116907
4/8/19,0.896284722
4/9/19,1.600132308
4/10/19,3.367119637
4/11/19,5.007973141
4/12/19,5.554577055
4/13/19,5.491726028
4/14/19,4.649560126
4/15/19,3.653167778
4/16/19,2.60434126
4/17/19,2.145242672
4/18/19,2.337388814
4/19/19,2.577554014
4/20/19,2.782256152
4/21/19,3.863906051
4/22/19,5.292467414
4/23/19,5.994894626
4/24/19,6.140857261
4/25/19,6.137317614
4/26/19,5.919318009
4/27/19,6.082481536
4/28/19,6.262995621
4/29/19,6.098023297
4/30/19,4.574881078
5/1/19,2.165288604
5/2/19,0.913470668
5/3/19,1.695888229
5/4/19,3.28979174
5/5/19,4.647638047
5/6/19,6.519297703
5/7/19,7.573016171
5/8/19,7.118313066
5/9/19,6.69692659
5/10/19,6.480991696
5/11/19,6.3093905
5/12/19,6.285830734
5/13/19,5.904834319
5/14/19,4.985529898
5/15/19,4.374502889
5/16/19,4.432430711
5/17/19,5.002103485
5/18/19,6.008848617
5/19/19,6.828891538
5/20/19,7.191832782
5/21/19,6.277421564
5/22/19,4.937444252
5/23/19,4.786235036
5/24/19,4.169069982
5/25/19,4.136282933
5/26/19,4.86733
5/27/19,5.432570336
5/28/19,6.037232921
5/29/19,6.585302531
5/30/19,7.387495996
5/31/19,7.664676956
6/1/19,7.217129217
6/2/19,6.989844048
6/3/19,6.510691421
6/4/19,5.838923455
6/5/19,5.176269585
6/6/19,5.370249532
6/7/19,5.108125498
6/8/19,5.053402554
6/9/19,5.429931907
6/10/19,5.912093992
6/11/19,6.190187574
6/12/19,7.166527103
6/13/19,6.834399569
6/14/19,6.063748828
6/15/19,5.581733168
6/16/19,5.59028931
6/17/19,5.965974463
6/18/19,7.104034314
6/19/19,7.764729746
6/20/19,8.930738147
6/21/19,9.450654594
6/22/19,9.142205243
6/23/19,8.074740218
6/24/19,7.885814128
6/25/19,7.134080896
6/26/19,6.332170996
6/27/19,6.02596229
6/28/19,5.766498704
6/29/19,5.37914388
6/30/19,5.688470627
7/1/19,6.092039055
7/2/19,6.455816393
7/3/19,6.943627158
7/4/19,7.342348854
7/5/19,8.169960001
7/6/19,8.620398587
7/7/19,8.746717837
7/8/19,8.333880046
7/9/19,7.249652366
7/10/19,6.036714009
7/11/19,5.787624667
7/12/19,6.867005058
7/13/19,8.190558139
7/14/19,9.031863509
7/15/19,9.517348837
7/16/19,10.62080373
7/17/19,11.03112546
7/18/19,10.74830989
7/19/19,9.943664795
7/20/19,9.06171677
7/21/19,7.374532565
7/22/19,6.393616119
7/23/19,5.039841812
7/24/19,3.945888171
7/25/19,3.70157178
7/26/19,5.337895861
7/27/19,7.642775967
7/28/19,8.954159885
7/29/19,9.301486439
7/30/19,9.633015717
7/31/19,9.410899089
8/1/19,9.234336473
8/2/19,9.012868212
8/3/19,8.444740667
8/4/19,8.554769098
8/5/19,8.391760921
8/6/19,8.023010385
8/7/19,7.352783491
8/8/19,7.320522793
8/9/19,7.559830528
8/10/19,7.9431901
8/11/19,8.380395192
8/12/19,8.262246444
8/13/19,8.613655411
8/14/19,8.783128418
8/15/19,8.855779209
8/16/19,9.724750887
8/17/19,9.898202078
8/18/19,10.53857155
8/19/19,10.22240428
8/20/19,10.21596029
8/21/19,10.32757806
8/22/19,10.44484902
8/23/19,10.58986077
8/24/19,9.649606496
8/25/19,8.956174266
8/26/19,8.566680186
8/27/19,8.264073303
8/28/19,8.469834822
8/29/19,9.19799536
8/30/19,8.910958664
8/31/19,8.262966956
9/1/19,7.687583017
9/2/19,8.352130815
9/3/19,9.142603442
9/4/19,9.954921032
9/5/19,10.65210476
9/6/19,10.75845451
9/7/19,10.47540863
9/8/19,10.35005138
9/9/19,9.286714647
9/10/19,8.70583133
9/11/19,9.284926103
9/12/19,9.650050092
9/13/19,9.722745808
9/14/19,10.03236807
9/15/19,10.42352728
9/16/19,11.17338984
9/17/19,11.57683104
9/18/19,12.38206114
9/19/19,12.26529439
9/20/19,11.65035888
9/21/19,11.393022
9/22/19,11.07205721
9/23/19,10.35619188
9/24/19,9.260867407
9/25/19,8.176838651
9/26/19,8.379604562
9/27/19,8.768082321
9/28/19,10.72367555
9/29/19,11.66972114
9/30/19,12.49364352
10/1/19,13.07334865
10/2/19,13.03929969
10/3/19,12.88953633
10/4/19,11.40923347
10/5/19,9.244115054
10/6/19,8.183155497
10/7/19,7.387679049
10/8/19,7.405825202
10/9/19,7.934065478
10/10/19,8.028177759
10/11/19,9.286798432
10/12/19,10.08487439
10/13/19,11.43084099
10/14/19,12.19381346
10/15/19,11.95081226
10/16/19,11.7397374
10/17/19,11.67928049
10/18/19,12.00405579
10/19/19,12.87643359
10/20/19,12.95663494
10/21/19,12.87838692
10/22/19,12.56324768
10/23/19,12.08536452
10/24/19,11.77202027
10/25/19,12.10012608
10/26/19,12.03790759
10/27/19,13.14240918
10/28/19,14.54565025
10/29/19,14.85499841
10/30/19,14.65031765
10/31/19,13.99212788
11/1/19,13.2906916
11/2/19,13.58659422
11/3/19,13.67182954
11/4/19,13.69087411
11/5/19,13.70722899
11/6/19,12.81616374
11/7/19,11.29480797
11/8/19,10.77611892
11/9/19,10.92846706
11/10/19,11.50173556
11/11/19,12.57730307
11/12/19,13.57922661
11/13/19,13.7471167
11/14/19,13.73171036
11/15/19,13.96579009
11/16/19,13.44528782
11/17/19,12.13453289
11/18/19,10.93204549
11/19/19,11.48404537
11/20/19,12.87604196
11/21/19,14.39360532
11/22/19,14.9915101
11/23/19,14.45959106
11/24/19,13.84147298
11/25/19,12.99848683
11/26/19,11.64256937
11/27/19,11.88297146
11/28/19,11.52201122
11/29/19,11.678541
11/30/19,11.97376625
12/1/19,12.72970118
12/2/19,13.74392587
12/3/19,14.37985863
12/4/19,14.77363342
12/5/19,14.32291947
12/6/19,13.85967186
12/7/19,13.49304648
12/8/19,13.15648011
12/9/19,12.70092917
12/10/19,12.94194352
12/11/19,12.94050593
12/12/19,12.24548553
12/13/19,12.23972497
12/14/19,12.16025909
12/15/19,13.81495179
12/16/19,15.43680484
12/17/19,16.53227192
12/18/19,16.78836793
12/19/19,16.00578428
12/20/19,14.55077197
12/21/19,13.39130515
12/22/19,13.39015374
12/23/19,12.99700469
12/24/19,13.51308496
12/25/19,14.85495579
12/26/19,15.11802291
12/27/19,14.98722452
12/28/19,14.44171589
12/29/19,13.23305467
12/30/19,12.43971463
12/31/19,12.27532792
1/1/20,13.86881945
1/2/20,14.65756987
1/3/20,15.11922845
1/4/20,14.78551775
1/5/20,14.70413457
1/6/20,13.80275844
1/7/20,14.00863231
1/8/20,14.04407398
1/9/20,14.64137058
1/10/20,15.18924375
1/11/20,15.58988067
1/12/20,16.26572025
1/13/20,16.74912062
1/14/20,16.57340917
1/15/20,15.87256482
1/16/20,14.99159374
1/17/20,13.89279734
1/18/20,13.68911182
1/19/20,14.01466185
1/20/20,15.09226139
1/21/20,15.62930452
1/22/20,15.60100014
1/23/20,14.99744633
1/24/20,14.68377269
1/25/20,14.52001968
1/26/20,14.63305134
1/27/20,14.32647031
1/28/20,14.0151192
1/29/20,13.96542654
1/30/20,13.09527961
1/31/20,12.83372654
2/1/20,13.91565816
2/2/20,16.2747634
2/3/20,18.16386106
2/4/20,18.62223847
2/5/20,18.43472087
2/6/20,16.29846915
2/7/20,14.21038056
2/8/20,13.18021849
2/9/20,13.75634935
2/10/20,15.22232781
2/11/20,17.05144588
2/12/20,18.32637802
2/13/20,19.0827633
2/14/20,18.33456935
2/15/20,16.82921361
2/16/20,14.54645943
2/17/20,12.72271124
2/18/20,12.63508261
2/19/20,13.38925837
2/20/20,14.10636634
2/21/20,14.46052831
2/22/20,15.0414084
2/23/20,16.33075707
2/24/20,17.90952307
2/25/20,18.09876549
2/26/20,17.50433756
2/27/20,16.71920293
2/28/20,16.17992082
2/29/20,14.85426161
3/1/20,13.77042995
3/2/20,13.31643133
3/3/20,13.62547552
3/4/20,14.5270712
3/5/20,15.93169297
3/6/20,17.20103582
3/7/20,18.37114956
3/8/20,19.11306562
3/9/20,19.55659353
3/10/20,18.97715781
3/11/20,19.20890808
3/12/20,19.16365415
3/13/20,18.78580975
3/14/20,18.74230307
3/15/20,18.98432409
3/16/20,19.1928693
3/17/20,19.25586568
3/18/20,18.81841652
3/19/20,18.57999226
3/20/20,18.65142277
3/21/20,19.16662869
3/22/20,18.93613673
3/23/20,19.0131663
3/24/20,18.71700497
3/25/20,16.96860539
3/26/20,16.47176286
3/27/20,16.81983624
3/28/20,18.1066811
3/29/20,18.68449915
3/30/20,19.04475979
3/31/20,18.65140308
4/1/20,18.98648051
4/2/20,19.81754318
4/3/20,20.38065112
4/4/20,20.02821827
4/5/20,18.82986118
4/6/20,18.05400446
4/7/20,17.01803906
4/8/20,17.41348255
4/9/20,17.91405031
4/10/20,18.00716802
4/11/20,17.94555888
4/12/20,18.59765263
4/13/20,19.43398476
4/14/20,19.64446196
4/15/20,20.23885262
4/16/20,20.62780412
4/17/20,20.62594487
4/18/20,20.82940733
4/19/20,21.62229949
4/20/20,21.40417921
4/21/20,21.06565438
4/22/20,20.69040627
4/23/20,20.05398888
4/24/20,19.31540595
4/25/20,18.08389607
4/26/20,17.31573464
4/27/20,17.73125495
4/28/20,18.13770028
4/29/20,17.29856007
4/30/20,16.63358283
5/1/20,17.16476606
5/2/20,18.24123987
5/3/20,19.33106264
5/4/20,20.49220447
5/5/20,20.63702843
5/6/20,20.99386902
5/7/20,20.65909882
5/8/20,20.24682371
5/9/20,18.75018866
5/10/20,17.46781371
5/11/20,17.53715243
5/12/20,18.03177328
5/13/20,19.16531535
5/14/20,20.24657045
